Video URL,Video Title,Views,Posted,Thumbnail Url
https://www.youtube.com/watch?v=dArUpCasmnE,https://i.ytimg.com/vi/dArUpCasmnE/hq720.jpg,Launching PAHAL Batch 🔥 For Class 11th Arts Students 💪,16K views,23 hours ago
https://www.youtube.com/watch?v=HqG2QchBw8Y,https://i.ytimg.com/vi/HqG2QchBw8Y/hq720.jpg,Launching FUNDO For Class - 6th to 8th Students 🔥💯 || Ab Hoga Padhai Ke Sath FUN 🤩,20K views,5 days ago
https://www.youtube.com/watch?v=1izKrQHyx9M,https://i.ytimg.com/vi/1izKrQHyx9M/hq720.jpg,⚡Unleashing the Power of PW Internationally⚡| Launching Physics Wallah Gulf,64K views,3 weeks ago
https://www.youtube.com/watch?v=jXAb1evxaJc,https://i.ytimg.com/vi/jXAb1evxaJc/hq720.jpg,Big Announcement for Gulf Region Aspirants 🔥| Physics Wallah Gulf Channel Trailer🚀,97K views,1 month ago
https://www.youtube.com/watch?v=2dn7XMxRtPE,https://i.ytimg.com/vi/2dn7XMxRtPE/hq720.jpg,Arjuna JEE v/s Arjuna NEET 🏏- Class 11th Faculties ka Cricket Match 🔥,372K views,1 month ago
https://www.youtube.com/watch?v=Fks4dVnTb5M,https://i.ytimg.com/vi/Fks4dVnTb5M/hq720.jpg,How to Study Zoology in Class 11th? Ab Saare Doubts Solve Honge !! 🔥,11K views,1 month ago
https://www.youtube.com/watch?v=nIuGXeISbSo,https://i.ytimg.com/vi/nIuGXeISbSo/hq720.jpg,"BIGGEST OFFER For Class - 8th ,9th & 10th Students 🤩 || Grab This Opportunity Now 🔥",41K views,1 month ago
https://www.youtube.com/watch?v=L5G-0FbyAsc,https://i.ytimg.com/vi/L5G-0FbyAsc/hq720.jpg,UDAAN Hindi Batch 🔥| Class 10th वालों के बच्चें के लिए Surprises 🎉🎉 #3SaalLajawaab,17K views,1 month ago
https://www.youtube.com/watch?v=uqDX6hcRf2I,https://i.ytimg.com/vi/uqDX6hcRf2I/hq720.jpg,NEEV 2.0 Batch 🔥 | Class 9th वालों के बच्चें के लिए Surprises 🎉🎉 #3SaalLajawaab,28K views,1 month ago
https://www.youtube.com/watch?v=9ZVfDuqKIQM,https://i.ytimg.com/vi/9ZVfDuqKIQM/hq720.jpg,How to Study Botany in Class 11th? Ab Saare Doubts Solve Honge !! 🔥,16K views,1 month ago
https://www.youtube.com/watch?v=1wMGzlQTyeM,https://i.ytimg.com/vi/1wMGzlQTyeM/hq720.jpg,How To Prepare For National Science Olympiad? 🔥 || A Complete Guide For Class 9th & 10th Students,62K views,1 month ago
https://www.youtube.com/watch?v=ivS0xPAbVUs,https://i.ytimg.com/vi/ivS0xPAbVUs/hq720.jpg,How to Study Physics in Class 11th? Ab Saare Numericals Solve Honge !! 🔥,25K views,1 month ago
https://www.youtube.com/watch?v=UJb799ZLCwQ,https://i.ytimg.com/vi/UJb799ZLCwQ/hq720.jpg,Why Maximum Students WASTED their Class 11th? The HARSH TRUTH !!,42K views,1 month ago
https://www.youtube.com/watch?v=RPCHRtdO9hg,https://i.ytimg.com/vi/RPCHRtdO9hg/hq720.jpg,Meet Bhakti Agrawal : The Topper of Our CBSE Board Class - 10th 2023 🔥,20K views,1 month ago
https://www.youtube.com/watch?v=iN2UWJW3lzo,https://i.ytimg.com/vi/iN2UWJW3lzo/hq720.jpg,How To Plan Maths Strategy For Class -10th To Score 95%+ Marks || CBSE Boards 🔥,318K views,1 month ago
https://www.youtube.com/watch?v=lRle7Jzciq8,https://i.ytimg.com/vi/lRle7Jzciq8/hq720.jpg,Meet Dilisha Rajput : The Topper of Our CBSE Board Class - 10th 2023 🔥,16K views,1 month ago
https://www.youtube.com/watch?v=CPmcBN2xoxI,https://i.ytimg.com/vi/CPmcBN2xoxI/hq720.jpg,Olympiad Challengers Batch For Our Udaan & Victory Students || Class-10th🔥,51K views,1 month ago
https://www.youtube.com/watch?v=mdZ4g2o7v9g,https://i.ytimg.com/vi/mdZ4g2o7v9g/hq720.jpg,How to Join Indian Army After 10th ?? | Detailed Explanation 🔥🔥,16K views,1 month ago
https://www.youtube.com/watch?v=z3ko4cUOYO0,https://i.ytimg.com/vi/z3ko4cUOYO0/hq720.jpg,"PW की कहानी, TOPPERS की जुबानी || Celebrating the Success of Our Class-10th Toppers⚡🤩",53K views,1 month ago
https://www.youtube.com/watch?v=ZLgLCNKQwFw,https://i.ytimg.com/vi/ZLgLCNKQwFw/hq720.jpg,Big Announcement For Class 10th HINDI MEDIUM Students 🔥 #Trailer💥,14K views,1 month ago
